weekday,hour,best_discrete,ks_discrete,p_discrete,params_discrete,best_continuous,ks_continuous,p_continuous,params_continuous
3,3,poisson,0.19432250193600076,6.824597718870551e-07,{'mu': 4.11340206185567},weibull_min,0.03936773314805675,0.9127373775029367,"{'c': 1.9802004054919333, 'loc': 0.2725911975174963, 'scale': 4.321668212297481}"
3,4,poisson,0.22211568397676745,9.30286867657134e-09,{'mu': 3.4293193717277486},weibull_min,0.04164809437804118,0.880907059237587,"{'c': 1.839677990648541, 'loc': 0.22172934996320448, 'scale': 3.5679850279171754}"
3,5,poisson,0.24554740321810434,2.3169330975759603e-10,{'mu': 2.860215053763441},gamma,0.0453740332038961,0.8214880904449222,"{'a': 2.4485163538065504, 'loc': 0.27560046577736563, 'scale': 1.0629074565510948}"
3,6,poisson,0.2206822501404509,2.376885338975013e-08,{'mu': 3.3043478260869565},weibull_min,0.045080497805248324,0.8320832650010896,"{'c': 1.6890031735615554, 'loc': 0.339508250549173, 'scale': 3.313793823669891}"
3,7,poisson,0.18412058562753775,2.2347995442033694e-06,{'mu': 4.748743718592965},weibull_min,0.05046179066558787,0.6722220522390424,"{'c': 2.153098595046986, 'loc': 0.024045106274056892, 'scale': 5.311745003982454}"
3,8,poisson,0.13928276035993986,0.0007577292046157119,{'mu': 10.07},norm,0.047224813497434126,0.7455078241602804,"{'loc': 10.047088495577805, 'scale': 3.5824043798387883}"
3,9,nbinom,0.09801039286786944,0.040006214276552154,"{'n': 30.674257742753383, 'p': 0.6529319367010419}",gamma,0.038356898102621884,0.9190983704227433,"{'a': 60.49614049436258, 'loc': -22.525134656059315, 'scale': 0.6424270759412252}"
3,10,nbinom,0.08791153513467181,0.08552915517799331,"{'n': 31.95312889553727, 'p': 0.598002204924331}",gamma,0.05462136761053782,0.5705119258812689,"{'a': 2819.2036504430353, 'loc': -297.91195339158935, 'scale': 0.11328751040343563}"
3,11,poisson,0.09337682124529678,0.058287197567449156,{'mu': 22.532663316582916},gamma,0.046142964474173376,0.7727424954046217,"{'a': 853.3275859809928, 'loc': -135.95895812642243, 'scale': 0.18573127387391053}"
3,12,nbinom,0.08332695020046949,0.12082132550559088,"{'n': 66.78605117912696, 'p': 0.757253172882512}",gamma,0.047153410960903974,0.752496899148431,"{'a': 82.81079050245987, 'loc': -26.956094898503473, 'scale': 0.5842244245682281}"
3,13,poisson,0.09620518802321265,0.04696798364110566,{'mu': 19.819095477386934},gamma,0.04134368053159415,0.8714700421172242,"{'a': 3389.9351379960067, 'loc': -284.5565899485323, 'scale': 0.0897936697539058}"
3,14,poisson,0.12085652448840356,0.005285245110128589,{'mu': 19.23},norm,0.057615074765858365,0.5020022234666497,"{'loc': 19.267912732356784, 'scale': 5.1506072017434485}"
3,15,nbinom,0.09072659472551958,0.06978083656762069,"{'n': 61.23132036847492, 'p': 0.7767877541695225}",gamma,0.02290101647843501,0.999876744379415,"{'a': 66.02385360096007, 'loc': -20.992562388549217, 'scale': 0.5847087600812333}"
3,16,nbinom,0.11172655492650052,0.012486922044944795,"{'n': 90.57471092284518, 'p': 0.8495915628961349}",weibull_min,0.04207880846450385,0.855758083214394,"{'c': 2.874764803706105, 'loc': 4.4219047807834215, 'scale': 13.027790175702584}"
3,17,poisson,0.13621579098651826,0.0010673086077321978,{'mu': 17.655},weibull_min,0.03420559785237076,0.9671324757015152,"{'c': 4.582748824544956, 'loc': -1.1065520419467663, 'scale': 20.501045659932565}"
3,18,nbinom,0.1197179274909611,0.005905263627608302,"{'n': 48.638931483474074, 'p': 0.7048718882796227}",norm,0.037321363555105846,0.9334395791347098,"{'loc': 20.354434780267496, 'scale': 5.363423759675281}"
3,19,poisson,0.09623822579619934,0.04772557046986836,{'mu': 21.292929292929294},gamma,0.04825216508971836,0.7271762856069873,"{'a': 316.58091530002775, 'loc': -71.5993179964534, 'scale': 0.29352870674500664}"
3,20,nbinom,0.07743146818598368,0.1723985051205713,"{'n': 66.95600114866464, 'p': 0.7695119038369117}",weibull_min,0.04337210689678084,0.8300378665785448,"{'c': 2.2349881864371715, 'loc': 9.651809423819483, 'scale': 11.815959606914392}"
3,21,poisson,0.1119729332195285,0.012211411676012467,{'mu': 18.49},norm,0.04470467657560653,0.8019575146961776,"{'loc': 18.50732710385272, 'scale': 4.781238232587175}"
3,22,nbinom,0.12186152336065914,0.0047880890892471805,"{'n': 73.69136299577208, 'p': 0.8297048033736757}",weibull_min,0.06375560643204725,0.374717139163136,"{'c': 2.997745067780433, 'loc': 3.491985457650218, 'scale': 13.089509212159108}"
3,23,poisson,0.09966863656490232,0.03503602181062493,{'mu': 12.555},gamma,0.029108202096160773,0.9940591440112281,"{'a': 14.963163385192859, 'loc': -2.7624693989491633, 'scale': 1.0249305359192578}"
4,0,poisson,0.10127211534552893,0.03075280066509356,{'mu': 10.265},gamma,0.0340178377715451,0.9687102110561822,"{'a': 19.003943197939485, 'loc': -5.426629515988161, 'scale': 0.8245780283649708}"
